Approved name,Pharos designation,NIH name 
ADCK1,Tdark,
BRSK1,Tchem,
BRSK2,Tchem,
CAMKK2,Tchem,
CDC42BPA,Tchem,
CDK11A,Tchem,
CDK12,Tbio,
CDK13,Tchem,
CDK16,Tchem,
CDK19,Tchem,
CDK20,Tbio,
CDKL5,Tchem,
COQ8A,Tbio,ADCK3
CSNK1A1L,Tdark,
CSNK2A3,Tdark,
DCLK3,Tchem,
DSTYK,Tchem,
HIPK1,Tbio,
HIPK3,Tchem,
ICK,Tchem,
LMTK2,Tbio,
MAP3K15,Tchem,
MAP3K21,Tdark,
MARK1,Tchem,
MARK3,Tchem,
MKNK1,Tchem,
NEK1,Tchem,
NEK3,Tbio,
NEK8,Tbio,
NEK9,Tchem,
NUAK2,Tchem,
OBSCN,Tbio,
PAN3,Tdark,
PIP5K1C,Tchem,
RIOK2,Tbio,
RNASEL,Tchem,
SBK1,Tchem,
STK17B,Tchem,
STK19,Tbio,
TAOK1,Tchem,
TAOK2,Tchem,
TSSK2,Tbio,
VRK3,Tbio,
WNK3,Tbio,
ADCK2,Tbio,ADCK2
ADCK5,Tdark,ADCK5
ALPK2,Tdark,ALPK2
ALPK3,Tdark,ALPK3
BCKDK,Tbio,BCKDK
CAMK1D,Tchem,CAMK1D
CAMK1G,Tchem,CAMK1G
CAMKK1,Tchem,CAMKK1
CAMKV,Tbio,CAMKV
CDC42BPB,Tbio,CDC42BPB
CDC42BPG,Tbio,CDC42BPG
CDK10,Tbio,CDK10
CDK11B,Tchem,CDK11B
CDK14,Tchem,CDK14
CDK15,Tchem,CDK15
CDK17,Tchem,CDK17
CDK18,Tchem,CDK18
CDKL1,Tchem,CDKL1
CDKL2,Tchem,CDKL2
CDKL3,Tchem,CDKL3
CDKL4,Tdark,CDKL4
CLK3,Tchem,CLK3
CLK4,Tchem,CLK4
COQ8B,Tchem,ADCK4
CSNK1G1,Tbio,CSNK1G1
CSNK1G2,Tchem,CSNK1G2
CSNK1G3,Tbio,CSNK1G3
CSNK2A2,Tchem,CSNK2A2
DYRK1B,Tchem,DYRK1B
DYRK2,Tchem,DYRK2
DYRK3,Tchem,DYRK3
DYRK4,Tdark,DYRK4
EEF2K,Tbio,EEF2K
ERN2,Tbio,ERN2
HIPK4,Tchem,HIPK4
LMTK3,Tbio,LMTK3
LRRK1,Tbio,LRRK1
LTK,Tchem,LTK
MAP3K10,Tchem,MAP3K10
MAP3K14,Tchem,MAP3K14
MAPK15,Tchem,MAPK15
MAPK4,Tbio,MAPK4
MARK4,Tchem,MARK4
MAST2,Tchem,MAST2
MAST3,Tbio,MAST3
MAST4,Tbio,MAST4
MKNK2,Tchem,MKNK2
NEK10,Tchem,NEK10
NEK11,Tbio,NEK11
NEK4,Tbio,NEK4
NEK5,Tchem,NEK5
NEK6,Tchem,NEK6
NEK7,Tchem,NEK7
NIM1K,Tbio,NIM1K
NRBP2,Tdark,NRBP2
NRK,Tdark,NRK
PAK3,Tchem,PAK3
PAK5,Tchem,PAK7
PAK6,Tchem,PAK6
PDIK1L,Tdark,PDIK1L
PHKG1,Tchem,PHKG1
PHKG2,Tchem,PHKG2
PI4KA,Tchem,PI4KA
PIK3C2B,Tchem,PIK3C2B
PIK3C2G,Tchem,PIK3C2G
PIP4K2C,Tchem,PIP4K2C
PIP5K1A,Tbio,PIP5K1A
PIP5K1B,Tbio,PIP5K1B
PKMYT1,Tchem,PKMYT1
PKN3,Tchem,PKN3
PNCK,Tbio,PNCK
POMK,Tdark,POMK
PRAG1,Tbio,SGK223
PRKACB,Tchem,PRKACB
PRKACG,Tbio,PRKACG
PRKCQ,Tchem,PRKCQ
PRPF4B,Tchem,PRPF4B
PSKH1,Tdark,PSKH1
PSKH2,Tdark,PSKH2
PXK,Tbio,PXK
RIOK1,Tchem,RIOK1
RIOK3,Tchem,RIOK3
RPS6KC1,Tdark,RPS6KC1
RPS6KL1,Tdark,RPS6KL1
SBK2,Tdark,SBK2
SBK3,Tchem,SBK3
SCYL1,Tbio,SCYL1
SCYL2,Tbio,SCYL2
SCYL3,Tdark,SCYL3
SGK494,Tdark,SGK494
SRPK3,Tchem,SRPK3
STK17A,Tchem,STK17A
STK3,Tchem,STK3
STK31,Tbio,STK31
STK32A,Tchem,STK32A
STK32B,Tchem,STK32B
STK32C,Tbio,STK32C
STK33,Tchem,STK33
STK36,Tbio,STK36
STK38L,Tchem,STK38L
STK40,Tbio,STK40
STKLD1,Tdark,STKLD1
TBCK,Tbio,TBCK
TESK1,Tbio,TESK1
TESK2,Tdark,TESK2
TLK1,Tchem,TLK1
TLK2,Tchem,TLK2
TP53RK,Tbio,TP53RK
TSSK1B,Tchem,TSSK1B
TSSK3,Tbio,TSSK3
TSSK4,Tbio,TSSK4
TSSK6,Tchem,TSSK6
TTBK1,Tchem,TTBK1
TTBK2,Tbio,TTBK2
VRK2,Tbio,VRK2
WEE2,Tbio,WEE2
WNK2,Tbio,WNK2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,